id,state_name,airport_code,airport_name,city,state,country,lat,long
1,Alabama,BHM,Birmingham International,Birmingham,AL,USA,33.56294306,-86.75354972
1,Alabama,DHN,Dothan ,Dothan,AL,USA,31.32133917,-85.44962889
1,Alabama,HSV,Huntsville International ,Huntsville,AL,USA,34.6404475,-86.77310944
1,Alabama,MGM,Montgomery Regional Apt,Montgomery,AL,USA,32.30064417,-86.39397611
1,Alabama,MOB,Mobile Regional,Mobile,AL,USA,30.69141667,-88.24283333
4,Arizona,FLG,Flagstaff Pulliam,Flagstaff,AZ,USA,35.13845472,-111.6712183
4,Arizona,PHX,Phoenix Sky Harbor International,Phoenix,AZ,USA,33.43416667,-112.0080556
4,Arizona,TUS,Tucson International,Tucson,AZ,USA,32.11608333,-110.9410278
4,Arizona,YUM,Yuma MCAS-Yuma International,Yuma,AZ,USA,32.65658333,-114.6059722
5,Arkansas,FSM,Fort Smith Regional,Fort Smith,AR,USA,35.33659028,-94.36744111
5,Arkansas,LIT,Adams ,Little Rock,AR,USA,34.72939611,-92.22424556
5,Arkansas,TXK,Texarkana Regional-Webb ,Texarkana,AR,USA,33.45370806,-93.99102
5,Arkansas,XNA,Northwest Arkansas Regional,Fayetteville/Springdale/Rogers,AR,USA,36.28186944,-94.30681111
6,California,ACV,Arcata,Arcata/Eureka,CA,USA,40.97811528,-124.1086189
6,California,BFL,Meadows ,Bakersfield,CA,USA,35.43359806,-119.0567681
6,California,BUR,Burbank-Glendale-Pasadena,Burbank,CA,USA,34.20061917,-118.3584969
6,California,CEC,Jack McNamara ,Crescent City,CA,USA,41.78015722,-124.2365333
6,California,CIC,Chico Municipal,Chico,CA,USA,39.79538278,-121.8584231
6,California,FAT,Fresno Yosemite International,Fresno,CA,USA,36.77619444,-119.7181389
6,California,IPL,Imperial County,Imperial,CA,USA,32.83422028,-115.5787456
6,California,IYK,Inyokern,Inyokern,CA,USA,35.65884306,-117.8295122
6,California,LAX,Los Angeles International,Los Angeles,CA,USA,33.94253611,-118.4080744
6,California,LGB,Long Beach (Daugherty ),Long Beach,CA,USA,33.81772222,-118.1516111
6,California,MOD,Modesto City-County-Harry Sham ,Modesto,CA,USA,37.62581722,-120.9544214
6,California,MRY,Monterey Peninsula,Monterey,CA,USA,36.5869825,-121.8429478
6,California,OAK,Metropolitan Oakland International,Oakland,CA,USA,37.72129083,-122.2207167
6,California,ONT,Ontario International,Ontario,CA,USA,34.056,-117.6011944
6,California,OXR,Oxnard,Oxnard,CA,USA,34.20080083,-119.2072164
6,California,PMD,Palmdale Production Flight,Palmdale,CA,USA,34.62938889,-118.0845528
6,California,PSP,Palm Springs International,Palm Springs,CA,USA,33.82921556,-116.5062531
6,California,RDD,Redding Municipal,Redding,CA,USA,40.50898361,-122.2934019
6,California,SAN,San Diego International-Lindbergh ,San Diego,CA,USA,32.73355611,-117.1896567
6,California,SBA,Santa Barbara Municipal,Santa Barbara,CA,USA,34.42621194,-119.8403733
6,California,SBP,San Luis Obispo Co-McChesney ,San Luis Obispo,CA,USA,35.23705806,-120.6423931
6,California,SFO,San Francisco International,San Francisco,CA,USA,37.61900194,-122.3748433
6,California,SJC,San Jose International,San Jose,CA,USA,37.36186194,-121.9290089
6,California,SMF,Sacramento International,Sacramento,CA,USA,38.69542167,-121.5907669
6,California,SMX,Santa Maria Pub/Capt G Allan Hancock ,Santa Maria,CA,USA,34.89924833,-120.4575825
6,California,SNA,John Wayne /Orange Co,Santa Ana,CA,USA,33.67565861,-117.8682225
6,California,CLD,MC Clellan-Palomar Airport,Carlsbad,CA,USA,33.127231,-117.278727
8,Colorado,ASE,Aspen-Pitkin Co/Sardy ,Aspen,CO,USA,39.22316,-106.868845
8,Colorado,COS,City of Colorado Springs Muni,Colorado Springs,CO,USA,38.80580556,-104.70025
8,Colorado,DEN,Denver Intl,Denver,CO,USA,39.85840806,-104.6670019
8,Colorado,DRO,Durango-La Plata County,Durango,CO,USA,37.15151667,-107.7537692
8,Colorado,EGE,Eagle County Regional,Eagle,CO,USA,39.64256778,-106.9176953
8,Colorado,GJT,Walker ,Grand Junction,CO,USA,39.1224125,-108.5267347
8,Colorado,GUC,Gunnison County,Gunnison,CO,USA,38.53396333,-106.9331817
8,Colorado,HDN,Yampa Valley,Hayden,CO,USA,40.48118028,-107.2176597
8,Colorado,MTJ,Montrose Regional,Montrose,CO,USA,38.50886722,-107.8938333
8,Colorado,TEX,Telluride Regional,Telluride,CO,USA,37.95375861,-107.90848
9,Connecticut,BDL,Bradley International,Windsor Locks,CT,USA,41.93887417,-72.68322833
