Count,Ave_delay,Count_delay,Delay_Rate,state_name,airport_code,airport_name,city,state,lat,long,Not_delayed
369779,50.72966905039082,72156.0,0.1951327684914503,Georgia,ATL,William B Hartsfield-Atlanta Intl,Atlanta,GA,33.64044444,-84.42694444,297623.0
287036,58.70649315204446,80608.0,0.28082888557532854,Illinois,ORD,Chicago O'Hare International,Chicago,IL,41.979595,-87.90446417,206428.0
278309,54.203320639756285,65650.0,0.2358888860942334,Texas,DFW,Dallas-Fort Worth International,Dallas-Fort Worth,TX,32.89595056,-97.0372,212659.0
224205,54.46723612789055,58769.0,0.2621217189625566,Colorado,DEN,Denver Intl,Denver,CO,39.85840806,-104.6670019,165436.0
221932,52.9941870706359,45416.0,0.20463925887208695,California,LAX,Los Angeles International,Los Angeles,CA,33.94253611,-118.40807439999999,176516.0
174210,56.18850670269147,38492.0,0.22095172492968257,Texas,IAH,George Bush Intercontinental,Houston,TX,29.98047222,-95.33972222,135718.0
166893,59.423815390933825,38958.0,0.23343100070104797,California,SFO,San Francisco International,San Francisco,CA,37.61900194,-122.3748433,127935.0
160475,49.6696055125929,33233.0,0.20709144726592926,Arizona,PHX,Phoenix Sky Harbor International,Phoenix,AZ,33.43416667,-112.00805559999999,127242.0
137055,52.07239142780285,33457.0,0.24411367699098901,Nevada,LAS,McCarran International,Las Vegas,NV,36.08036111,-115.15233329999998,103598.0
112243,54.11777017714023,19589.0,0.17452313284570084,North Carolina,CLT,Charlotte/Douglas International,Charlotte,NC,35.21401111,-80.94312583,92654.0
110636,58.548692174664936,18504.0,0.1672511659857551,Massachusetts,BOS,Gen Edw L Logan Intl,Boston,MA,42.3643475,-71.00517917,92132.0
110417,60.93469649073666,24991.0,0.22633290163652336,Florida,MCO,Orlando International,Orlando,FL,28.42888889,-81.31602778,85426.0
110356,62.55850945494994,26970.0,0.24439088042335713,New Jersey,EWR,Newark Intl,Newark,NJ,40.69249722,-74.16866056,83386.0
108714,50.28943866440842,16532.0,0.15206873079824126,Washington,SEA,Seattle-Tacoma Intl,Seattle,WA,47.44898194,-122.30931310000001,92182.0
108586,54.243007497116494,13872.0,0.127751275486711,Utah,SLC,Salt Lake City Intl,Salt Lake City,UT,40.78838778,-111.9777731,94714.0
106966,63.72646084409661,20827.0,0.19470672924106724,New York,LGA,LaGuardia,New York,NY,40.77724306,-73.87260917,86139.0
106218,58.14940991802802,17201.0,0.16194053738537725,Minnesota,MSP,Minneapolis-St Paul Intl,Minneapolis,MN,44.88054694,-93.2169225,89017.0
105980,61.93221582571396,17718.0,0.1671824872617475,Michigan,DTW,Detroit Metropolitan-Wayne County,Detroit,MI,42.21205889,-83.34883583,88262.0
100560,63.4840588755396,19227.0,0.19119928400954653,New York,JFK,John F Kennedy Intl,New York,NY,40.63975111,-73.77892556,81333.0
90851,51.12347917170252,24822.0,0.27321658539806937,Maryland,BWI,Baltimore-Washington International,Baltimore,MD,39.17540167,-76.66819833,66029.0
88501,52.103642764765056,27836.0,0.3145275194630569,Illinois,MDW,Chicago Midway,Chicago,IL,41.7859825,-87.75242444,60665.0
82224,54.28579329415831,14465.0,0.1759218719595252,Florida,MIA,Miami International,Miami,FL,25.79325,-80.29055556,67759.0
76731,52.98892354701127,15709.0,0.20472820633120903,California,SAN,San Diego International-Lindbergh ,San Diego,CA,32.73355611,-117.1896567,61022.0
72835,61.182465636350685,14041.0,0.19277819729525641,Pennsylvania,PHL,Philadelphia Intl,Philadelphia,PA,39.87195278,-75.24114083,58794.0
72525,61.15250683682771,10970.0,0.15125818683212686,Virginia,DCA,Ronald Reagan Washington National,Arlington,VA,38.85208333,-77.03772222,61555.0
64873,59.375919884682496,13181.0,0.20318160097421115,Florida,TPA,Tampa International ,Tampa,FL,27.97547222,-82.53325,51692.0
64117,57.42482194671591,15164.0,0.23650513904268758,Florida,FLL,Fort Lauderdale-Hollywood Int'l,Ft. Lauderdale,FL,26.07258333,-80.15275,48953.0
59506,49.87944367176634,17975.0,0.3020703794575337,Texas,HOU,William P Hobby,Houston,TX,29.64541861,-95.27888889,41531.0
58097,66.22208327203178,13594.0,0.23398798561027248,Virginia,IAD,Washington Dulles International,Chantilly,VA,38.94453194,-77.45580972,44503.0
55670,57.299733917671,12778.0,0.22953116579845517,Tennessee,BNA,Nashville International,Nashville,TN,36.12447667,-86.67818222,42892.0
53335,54.25038481272448,7796.0,0.14617043217399456,Oregon,PDX,Portland Intl,Portland,OR,45.58872222,-122.5975,45539.0
52418,54.03864023540344,12914.0,0.24636575222251897,Missouri,STL,Lambert-St Louis International,St Louis,MO,38.74768694,-90.35998972,39504.0
48308,47.88345918221969,14038.0,0.2905936904860479,Texas,DAL,Dallas Love ,Dallas,TX,32.84711389,-96.85177222,34270.0
44767,57.88112571987396,9203.0,0.2055755355507405,Missouri,MCI,Kansas City International,Kansas City,MO,39.29760528,-94.71390556,35564.0
43265,44.3435054084953,11371.0,0.2628221426094996,California,OAK,Metropolitan Oakland International,Oakland,CA,37.72129083,-122.22071670000001,31894.0
43098,58.05364253923636,8538.0,0.19810664067938188,Texas,AUS,Austin-Bergstrom International,Austin,TX,30.19453278,-97.66987194,34560.0
42303,50.47350078115611,8321.0,0.19669999763610146,California,SJC,San Jose International,San Jose,CA,37.36186194,-121.92900890000001,33982.0
42107,50.134481933476906,8358.0,0.19849431210962548,California,SMF,Sacramento International,Sacramento,CA,38.69542167,-121.5907669,33749.0
40490,56.83512097779995,8018.0,0.19802420350703878,Louisiana,MSY,New Orleans International ,New Orleans,LA,29.99338889,-90.25802778,32472.0
39141,49.936450839328536,7506.0,0.19176822257990342,California,SNA,John Wayne /Orange Co,Santa Ana,CA,33.67565861,-117.86822250000002,31635.0
38813,60.42461845671088,7011.0,0.1806353541339242,North Carolina,RDU,Raleigh-Durham International,Raleigh,NC,35.87763889,-78.78747222,31802.0
37465,67.38043165467626,6950.0,0.18550647270786066,Ohio,CLE,Cleveland-Hopkins Intl,Cleveland,OH,41.41089417,-81.84939667,30515.0
33928,54.58330817989737,6626.0,0.1952959207734025,Texas,SAT,San Antonio International,San Antonio,TX,29.53369444,-98.46977778,27302.0
33654,62.54525156296517,6718.0,0.1996196588815594,Wisconsin,MKE,General Mitchell International,Milwaukee,WI,42.94722222,-87.89658333,26936.0
28527,64.02620741295395,5342.0,0.18726119115224174,Indiana,IND,Indianapolis International,Indianapolis,IN,39.71732917,-86.29438417,23185.0
