Origin,Dest,Delay
MCI,IAH,1.0
PHX,SLC,0.0
DFW,ORD,0.0
BNA,EWR,0.0
DTW,PHX,0.0
TUL,IAH,0.0
MCO,EWR,0.0
IND,LAS,0.0
EWR,RSW,1.0
PHL,PHX,0.0
LAX,OAK,1.0
EWR,TPA,0.0
BOS,FLL,0.0
LGA,DTW,0.0
SLC,BOI,0.0
SFO,DFW,0.0
LAS,ATL,0.0
ATL,PHL,0.0
LAS,BHM,0.0
BNA,CLE,1.0
ATL,SDF,0.0
ATL,JAX,1.0
ORD,BDL,1.0
LAX,ORD,1.0
ORD,DCA,0.0
STL,LAS,0.0
CLT,TPA,1.0
TPA,FNT,0.0
PHX,MSP,0.0
LGA,PBI,0.0
CLT,DFW,0.0
IAD,DEN,0.0
DCA,BNA,0.0
ATL,BUF,0.0
ATL,HSV,0.0
DCA,RSW,0.0
MCO,MEM,0.0
BNA,LGA,0.0
ICT,ORD,0.0
DFW,SJC,0.0
MSY,DAL,0.0
IND,PHX,0.0
FAR,ORD,0.0
DCA,STL,1.0
ORD,SMF,1.0
IAH,LIT,1.0
LAX,SEA,1.0
CLE,MCO,0.0
TUL,DFW,0.0
DCA,ORD,0.0
IAH,SEA,1.0
PHL,RSW,0.0
LAX,SAN,1.0
MSP,ATL,0.0
PHX,SBA,1.0
AUS,DAL,0.0
AUS,HRL,0.0
CLT,MSY,0.0
RSW,ORD,0.0
DFW,ATL,0.0
SFO,ACV,0.0
DTW,IAH,0.0
BWI,DEN,0.0
CMH,MSP,0.0
GEG,LAS,0.0
EWR,CLT,0.0
RNO,PHX,0.0
ATL,MSP,0.0
PHX,SLC,0.0
ORD,LGA,1.0
DEN,MSP,1.0
DEN,GEG,1.0
LAS,SNA,
EWR,LAS,0.0
PVD,BWI,0.0
ORD,BUF,0.0
RDU,TPA,1.0
DEN,IAH,0.0
SEA,SNA,0.0
IAH,BRO,0.0
ATL,AUS,0.0
JAX,MIA,0.0
SEA,PHX,0.0
SYR,ORD,0.0
DCA,TPA,0.0
TPA,PHL,0.0
JFK,PIT,0.0
IAD,DFW,0.0
SJC,PHX,0.0
HOU,BOS,0.0
CMH,EWR,1.0
SEA,BUR,0.0
SFO,SNA,1.0
DFW,BRO,1.0
OKC,DFW,0.0
FLL,SJU,0.0
ATL,MSP,0.0
MHT,ATL,0.0
LAX,PHX,1.0
LAS,DEN,0.0
EWR,ORD,0.0
DFW,GRR,1.0
DEN,MCI,0.0
SEA,DTW,0.0
BDL,CLT,0.0
OAK,SEA,1.0
IAD,MDW,0.0
MEM,DFW,1.0
PSP,DEN,1.0
LGA,FLL,1.0
SAT,DEN,0.0
CLT,JAX,0.0
SFO,JFK,0.0
BDL,CLT,1.0
EWR,SJU,0.0
DAL,AUS,0.0
MDW,FLL,1.0
LAX,PHX,0.0
CRP,IAH,1.0
LAX,SMF,1.0
MDW,MEM,0.0
DTW,MKE,0.0
SAN,SFO,1.0
CLE,ORD,0.0
LAX,ORD,0.0
SFO,SAN,1.0
SWF,FLL,0.0
MSN,ORD,1.0
ATL,FAY,0.0
LGA,MCO,1.0
PIT,MDW,0.0
SEA,DTW,0.0
FLL,DFW,
JFK,SFO,0.0
BNA,DCA,
CRW,IAD,0.0
CMH,ORD,0.0
DFW,SHV,0.0
PHX,LAX,0.0
SEA,LAX,0.0
STL,EWR,
PSP,DFW,0.0
DTW,MSP,0.0
CLE,ATL,0.0
MCI,DEN,0.0
DFW,RAP,1.0
BDL,DEN,0.0
LGA,PBI,0.0
BWI,MHT,0.0
LAS,PHX,0.0
PHL,MSP,0.0
HSV,ATL,0.0
IAH,DTW,0.0
MSP,CMH,1.0
DCA,JFK,1.0
DFW,TPA,1.0
DFW,IAH,0.0
DEN,MSP,0.0
DFW,PHL,0.0
MIA,TPA,0.0
MCI,MDW,0.0
DFW,MSN,0.0
LAX,RNO,0.0
DAL,MDW,1.0
BOI,GEG,1.0
SNA,SMF,0.0
SAN,MSP,0.0
SFO,PHX,0.0
TLH,DFW,
MDW,STL,1.0
ATL,BHM,1.0
ORD,PDX,1.0
CLT,BUF,0.0
PBI,LGA,1.0
MFE,IAH,0.0
BWI,BDL,0.0
HOU,MCO,1.0
CLE,ORD,0.0
LGA,MCO,0.0
DEN,MCO,1.0
MDW,MCI,1.0
LAX,ORD,0.0
ATL,IND,1.0
DEN,MSO,0.0
ORD,ATL,0.0
BUR,DEN,0.0
BNA,JFK,0.0
LAX,SAN,0.0
SAN,SJC,0.0
RIC,IAH,0.0
ATL,TYS,0.0
ATL,XNA,0.0
LGA,MIA,0.0
PHL,IAH,0.0
BWI,DAY,0.0
SFO,MCO,0.0
ATL,MIA,0.0
BOS,ORD,0.0
SEA,LAX,0.0
LAS,SLC,0.0
DFW,SAN,0.0
ORD,ATL,1.0
SJC,SAN,0.0
DTW,IAH,1.0
IAH,LGA,0.0
BWI,RSW,1.0
EWR,PDX,0.0
SMF,SNA,
BNA,SAN,0.0
MCO,PHL,1.0
MCO,DCA,0.0
MSO,SLC,0.0
IAH,TUS,0.0
JFK,SFO,1.0
LAX,DTW,0.0
LGA,DAY,0.0
MIA,EWR,0.0
MIA,DFW,0.0
PHX,TUS,0.0
LAS,PDX,0.0
SFO,SAN,1.0
RIC,CLT,0.0
MAF,IAH,0.0
ORD,CVG,0.0
MSP,STL,1.0
MDW,DEN,0.0
LAS,ATL,0.0
PBI,IAH,0.0
MKE,PHX,0.0
DFW,SLC,0.0
STL,TUL,0.0
SFO,SAN,0.0
HOU,LAX,1.0
SNA,IAH,0.0
TVC,ORD,0.0
PHX,SLC,0.0
DCA,AUS,0.0
ATL,ORD,0.0
TPA,LGA,0.0
SMF,SAN,0.0
DFW,TUL,0.0
ATL,DEN,1.0
ORD,ACY,0.0
LAS,SLC,0.0
ORD,BNA,0.0
ORD,DAY,0.0
DEN,LAX,0.0
CLT,BWI,0.0
DFW,IAH,0.0
PHL,ATL,0.0
MCI,CLT,0.0
RNO,LAS,1.0
PHX,TUL,1.0
MCO,MDW,0.0
IAH,PHX,0.0
MCI,MDW,0.0
SDF,MCO,0.0
MCO,RDU,0.0
ATL,PHL,0.0
RDU,MCO,1.0
MSP,ATL,0.0
CLE,DTW,0.0
PHX,RDU,1.0
BUF,FLL,0.0
SFO,IAH,0.0
MSP,DEN,0.0
BNA,JAX,1.0
MIA,IAH,1.0
FLL,RDU,1.0
JFK,RSW,0.0
PIT,MDW,1.0
DCA,ORD,0.0
PNS,MIA,1.0
IAD,IND,0.0
ORF,LGA,0.0
ATL,TRI,0.0
ORD,PDX,0.0
DEN,MCI,1.0
JFK,PBI,1.0
PHX,ELP,0.0
PHX,MSY,1.0
BNA,LGA,0.0
ATL,RIC,0.0
ATL,TUL,0.0
DTW,MCO,0.0
PHX,ELP,0.0
DTW,PHX,0.0
SEA,IAH,0.0
BWI,FLL,0.0
PHX,SLC,1.0
ORD,ORF,0.0
OMA,ATL,0.0
SJU,PHL,1.0
ATL,SFO,0.0
RNO,SLC,0.0
LBB,DFW,1.0
RSW,ORD,0.0
SLC,DTW,0.0
LAS,MDW,0.0
IAH,DFW,0.0
DFW,PHL,0.0
SFO,SMF,0.0
MLU,ATL,0.0
DEN,SFO,0.0
EWR,SFO,0.0
DAY,DFW,0.0
ATL,IAH,1.0
MSP,RHI,0.0
ATL,GSO,0.0
ATL,TPA,0.0
FLL,CMH,0.0
ATL,EWR,0.0
CLT,DEN,0.0
DFW,LAX,0.0
RDU,LAX,0.0
DFW,MFE,0.0
MSP,TPA,0.0
MCO,PVD,0.0
LAS,SAN,0.0
MEM,ATL,0.0
BWI,BNA,0.0
DCA,BOS,0.0
HOU,MCI,0.0
LAS,AUS,1.0
LAX,LAS,0.0
STL,MCI,0.0
BMI,ATL,0.0
DFW,LAS,1.0
MCI,DAL,0.0
MDW,DEN,0.0
PDX,SEA,0.0
ORD,RST,
MIA,MSY,1.0
SYR,JFK,0.0
DTW,BHM,0.0
BWI,ATL,1.0
ATL,BTR,0.0
SLC,LGB,0.0
COD,DEN,0.0
PHX,DEN,1.0
SEA,MSP,0.0
CLT,MIA,0.0
MDW,PHX,0.0
IAD,SAN,0.0
MCO,ATL,0.0
MIA,DFW,1.0
DTW,ORD,0.0
BOI,LAX,0.0
ATL,SHV,0.0
PHX,MSP,0.0
TPA,STL,0.0
RIC,BOS,0.0
BOS,PHL,0.0
IAD,GSO,
HOU,CRP,0.0
ORD,DFW,1.0
FLL,EWR,1.0
PIA,ORD,1.0
MDW,SDF,1.0
BWI,ORF,0.0
CHS,BWI,0.0
ORD,CLE,0.0
SMF,LAX,0.0
SLC,SNA,0.0
ORD,BUF,1.0
BOS,BWI,0.0
LAX,JFK,0.0
SAT,DFW,0.0
MSY,DAL,1.0
RIC,ORD,0.0
DTW,ATL,0.0
ATL,GRB,0.0
SJU,FLL,0.0
FNT,ORD,0.0
TPA,BDL,1.0
SBN,ORD,1.0
MCO,CLT,0.0
MSP,PHL,
PSP,IAH,0.0
VPS,IAH,1.0
LAS,PHX,0.0
TUL,DFW,0.0
SFO,LAX,
MIA,EWR,0.0
SJU,MCO,0.0
ONT,SMF,0.0
ATL,GSO,1.0
MCO,JFK,0.0
BWI,PHX,0.0
TUS,LAS,1.0
TPA,DFW,0.0
DFW,CLL,0.0
ORF,ATL,0.0
SJC,PDX,0.0
LAX,TUS,0.0
TRI,ATL,0.0
BWI,CLT,0.0
