Index,Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,Origin,origin_airport,origin_city,origin_state,origin_lat,origin_long,Dest,dest_airport,dest_city,dest_state,dest_lat,dest_long
428608,2008,1,1,2,2400,10,734,737,NW,336,N522US,274,267,227,-3,-10,1979,15,32,0,,0,NA,NA,NA,NA,NA,LAX,Los Angeles International,Los Angeles,CA,33.94253611,-118.4080744,DTW,Detroit Metropolitan-Wayne County,Detroit,MI,42.21205889,-83.34883583
546847,2008,1,1,2,5,15,804,823,B6,172,N605JB,299,308,282,-19,-10,2521,7,10,0,,0,NA,NA,NA,NA,NA,SMF,Sacramento International,Sacramento,CA,38.69542167,-121.5907669,JFK,John F Kennedy Intl,New York,NY,40.63975111,-73.77892556
488833,2008,1,1,2,45,25,547,535,AA,622,N4XSAA,182,190,165,12,20,1431,5,12,0,,0,NA,NA,NA,NA,NA,SMF,Sacramento International,Sacramento,CA,38.69542167,-121.5907669,DFW,Dallas-Fort Worth International,Dallas-Fort Worth,TX,32.89595056,-97.0372
588020,2008,1,1,2,19,25,645,709,DL,430,N3739,266,284,242,-24,-6,2153,9,15,0,,0,NA,NA,NA,NA,NA,PHX,Phoenix Sky Harbor International,Phoenix,AZ,33.43416667,-112.0080556,JFK,John F Kennedy Intl,New York,NY,40.63975111,-73.77892556
428052,2008,1,1,2,33,30,616,605,NW,314,N589NW,223,215,194,11,3,1536,7,22,0,,0,NA,NA,NA,NA,NA,LAX,Los Angeles International,Los Angeles,CA,33.94253611,-118.4080744,MSP,Minneapolis-St Paul Intl,Minneapolis,MN,44.88054694,-93.2169225
533576,2008,1,1,2,26,30,508,444,AS,198,N320AS,222,194,199,24,-4,1449,6,17,0,,0,0,0,24,0,0,ANC,Ted Stevens Anchorage International,Anchorage,AK,61.17432028,-149.9961856,SEA,Seattle-Tacoma Intl,Seattle,WA,47.44898194,-122.3093131
546654,2008,1,1,2,29,30,758,825,B6,200,N586JB,269,295,245,-27,-1,2248,6,18,0,,0,NA,NA,NA,NA,NA,LAS,McCarran International,Las Vegas,NV,36.08036111,-115.1523333,JFK,John F Kennedy Intl,New York,NY,40.63975111,-73.77892556
546741,2008,1,1,2,21,30,808,831,B6,88,N652JB,287,301,266,-23,-9,2430,8,13,0,,0,NA,NA,NA,NA,NA,ONT,Ontario International,Ontario,CA,34.056,-117.6011944,JFK,John F Kennedy Intl,New York,NY,40.63975111,-73.77892556
546723,2008,1,1,2,30,35,405,420,B6,749,N623JB,155,165,142,-15,-5,1189,5,8,0,,0,NA,NA,NA,NA,NA,MCO,Orlando International,Orlando,FL,28.42888889,-81.31602778,SJU,San Angelo Regional /Mathis ,San Angelo,TX,31.35775,-100.4963056
576025,2008,1,1,2,33,35,551,603,CO,1743,N37281,198,208,174,-12,-2,1635,7,17,0,,0,NA,NA,NA,NA,NA,SFO,San Francisco International,San Francisco,CA,37.61900194,-122.3748433,IAH,George Bush Intercontinental,Houston,TX,29.98047222,-95.33972222
429260,2008,1,1,2,124,40,653,612,NW,362,N505US,209,212,190,41,44,1589,6,13,0,,0,10,0,0,0,31,SFO,San Francisco International,San Francisco,CA,37.61900194,-122.3748433,MSP,Minneapolis-St Paul Intl,Minneapolis,MN,44.88054694,-93.2169225
513512,2008,1,1,2,35,40,451,500,AA,1650,N5CUAA,136,140,117,-9,-5,1055,8,11,0,,0,NA,NA,NA,NA,NA,LAS,McCarran International,Las Vegas,NV,36.08036111,-115.1523333,DFW,Dallas-Fort Worth International,Dallas-Fort Worth,TX,32.89595056,-97.0372
528075,2008,1,1,2,38,40,529,530,AA,2408,N3DGAA,171,170,143,-1,-2,1235,5,23,0,,0,NA,NA,NA,NA,NA,LAX,Los Angeles International,Los Angeles,CA,33.94253611,-118.4080744,DFW,Dallas-Fort Worth International,Dallas-Fort Worth,TX,32.89595056,-97.0372
568216,2008,1,1,2,40,40,619,640,CO,1823,N37287,219,240,204,-21,0,1874,6,9,0,,0,NA,NA,NA,NA,NA,SEA,Seattle-Tacoma Intl,Seattle,WA,47.44898194,-122.3093131,IAH,George Bush Intercontinental,Houston,TX,29.98047222,-95.33972222
