Index,Origin,Dest
105784,EWR,ORF
995536,ORD,BWI
914720,BHM,ATL
12753,HOU,AUS
151904,LGA,JAX
415916,RDU,SDF
961255,HNL,KOA
476951,GSO,MEM
480275,HNL,LAX
213312,DEN,MSO
460985,MBS,DTW
32954,LAS,PHX
489197,CMH,DFW
767261,SEA,GEG
617483,LAS,LAX
124444,DAL,IAH
818943,LAX,BWI
378583,HNL,KOA
677270,SFO,LAX
305210,SLC,RDU
443431,BWI,DTW
993875,ORD,AZO
888410,BWI,BDL
991518,ORD,EVV
159429,RSW,CMH
933805,JAX,DEN
414356,ORD,JAX
777945,SLC,SFO
355441,TPA,ATL
569864,ONT,IAH
88190,HOU,MCO
927801,SBN,ATL
38679,BWI,ALB
145773,DEN,HDN
277262,MIA,CLT
273574,PHX,ABQ
1035131,HSV,DTW
263928,BOS,LGA
455415,LIT,MEM
927805,SBN,ATL
1033111,MSP,CID
643226,DEN,OAK
200738,DEN,MSO
890224,DFW,ATL
581866,IAH,JFK
432917,DTW,LGA
106398,CLE,DCA
848201,CLT,RDU
939794,IND,MSY
590753,SLC,FLL
70998,SLC,RNO
362323,ATL,BMI
737297,IAD,CHS
437026,DTW,MSP
84195,BWI,HOU
444316,BDL,DTW
932474,FLL,DEN
877116,CLT,SFO
890874,LGA,ATL
694137,RNO,SEA
738999,PHX,TUS
447662,PVD,DTW
872487,OAK,PHX
315140,ATL,MCI
549052,MCO,BOS
419708,DCA,BOS
777673,SLC,SGU
976990,LBB,DFW
1041136,MSP,GRR
370860,ATL,TPA
925841,CHA,ATL
633571,LAX,LAS
830174,ORD,SJC
832072,SFO,DEN
198295,SLC,BOI
900762,DCA,ATL
902532,PBI,ATL
987699,DSM,ORD
179788,RDM,SFO
141120,ORD,CLT
753449,CHS,CVG
1027241,DTW,PVD
768587,OXR,LAX
670785,OAK,PHX
8575,TPA,RDU
794991,SLC,SUN
538949,OAK,PDX
805992,GTF,DEN
601510,MCO,CVG
956832,ATL,BOS
473053,ROA,DTW
259483,LGA,DCA
425425,DTW,SEA
878709,LGA,BOS
988861,ORD,BDL
995068,LEX,ORD
661053,RNO,LAS
850704,IND,CLT
856923,CLT,ORD
953841,ATL,BMI
298732,BWI,MDW
313045,MCO,LAX
123270,RIC,CLE
781070,SFO,SBA
162912,CVG,PHL
737244,GSO,CLT
285740,DEN,PHX
736436,DEN,HDN
610933,MAF,ABQ
788158,RNO,SFO
120619,IAH,LFT
711221,EWR,BUF
401347,MKE,ORD
502425,TUS,ORD
250143,SFO,SEA
102515,TUL,AUS
84676,HOU,AUS
801726,SFO,SLC
691047,SLC,BOI
389478,CHS,DFW
22277,AUS,LAX
918638,ATL,LEX
108990,GSP,IAH
532024,ITO,HNL
441075,PIT,DTW
161728,EWR,CVG
1015023,MSP,ABQ
329032,TYS,ATL
307103,EWR,ATL
721193,STL,CLE
303931,SLC,SMF
97275,COS,SAN
890484,SLC,SNA
60093,PHX,MCI
969591,LAW,DFW
891933,LGA,BOS
312423,LAX,SLC
1035582,ABE,DTW
53670,ONT,SMF
123093,MSY,IAH
978252,DFW,ABI
848355,EWR,CLT
876441,PHL,MSY
827445,CLT,ORD
62851,MDW,IND
285984,LGA,BOS
156152,DCA,CVG
183952,EKO,SLC
941950,RSW,HPN
750066,CMH,CVG
550204,MCO,BOS
964436,LAX,SAN
248717,ORD,MHT
850232,STT,PHL
239535,OMA,DEN
273205,LAS,ORD
992833,CMH,ORD
897349,ATL,DEN
406040,OMA,ORD
180632,MKE,PIT
931397,BNA,ATL
531904,HNL,OGG
835684,ORD,BOS
204750,FAT,SFO
292795,ALB,CLT
698500,GEG,ONT
197796,SAT,LAX
41642,TPA,FLL
1028119,MEM,OKC
577636,CLE,EWR
900778,ATL,MCI
527401,ORD,HDN
347708,AUS,DEN
823838,BWI,DEN
138177,MCI,CLT
572777,IAH,SAT
484690,ORD,BOS
244277,IAD,DEN
864486,DCA,LGA
775961,SAT,MCI
287514,PHL,CLT
629257,BNA,AUS
66645,OKC,DEN
704307,ABQ,IAH
163013,CLT,LGA
807211,ASE,DEN
259464,LAX,PHX
743232,PHX,SAT
368787,ATL,FLL
858340,FLL,PIT
99198,TUS,OMA
431559,DTW,ATL
760700,LEX,CVG
74025,RNO,LAS
57326,SMF,BUR
621305,MCI,PHX
97725,SAN,GEG
463003,MSP,DSM
687427,SAT,MCO
979349,DFW,ABI
175572,LAX,OAK
275995,ORD,PHL
279247,BOS,PHX
245121,ORD,IAD
343327,FNT,ATL
301685,TUS,LAS
423834,MSP,SNA
697521,JAX,RDU
26205,DAL,AUS
